customer_id,recency,frequency,monetary,RFM_rank,Segment,LTV,name,gender,past_3_years_bike_related_purchases,age,job_title,job_industry_category,wealth_segment,owns_car,tenure,address,postcode,state,country,property_valuation
1,8,11,9084.45,555,Champions,8760.894246575344,Laraine Medendorp,Female,93,64,Executive Secretary,Health,Mass Customer,Yes,11,060 Morning Avenue,2016,New South Wales,Australia,10
2,129,3,4149.07,112,Hibernating,1273.1392876712328,Eli Bockman,Male,81,37,Administrative Officer,Financial Services,Mass Customer,Yes,16,6 Meadow Vale Court,2153,New South Wales,Australia,10
4,196,2,1047.72,111,Hibernating,218.155397260274,Talbot,Male,33,56,N/A,IT,Mass Customer,No,7,0 Holy Cross Court,4211,Queensland,Australia,9
5,17,6,5903.2,433,Loyal Customers,4625.521095890411,Sheila-kathryn Calton,Female,56,40,Senior Editor,N/A,Affluent Customer,Yes,8,17979 Del Mar Point,2448,New South Wales,Australia,4
6,65,5,5931.6900000000005,223,Hibernating,4420.327890410959,Curr Duckhouse,Male,35,51,N/A,Retail,High Net Worth,Yes,13,9 Oakridge Court,3216,Victoria,Australia,9
7,254,3,995.38,111,Hibernating,169.0782465753425,Fina Merali,Female,6,41,N/A,Financial Services,Affluent Customer,Yes,11,4 Delaware Trail,2210,New South Wales,Australia,9
8,23,10,12024.759999999998,455,Champions,11135.257205479451,Rod Inder,Male,31,55,Media Manager I,N/A,Mass Customer,No,7,49 Londonderry Lane,2650,New South Wales,Australia,4
9,79,6,5357.549999999999,233,At Risk,3684.2330136986293,Mala Lind,Female,97,44,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8,97736 7th Trail,2023,New South Wales,Australia,12
11,47,6,6779.4400000000005,334,Loyal Customers,4197.680657534247,Uriah Bisatt,Male,99,63,N/A,Property,Mass Customer,No,9,93405 Ludington Park,3044,Victoria,Australia,8
12,68,7,6394.21,243,At Risk,4449.669424657534,Sawyere Flattman,Male,58,23,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8,44339 Golden Leaf Alley,4557,Queensland,Australia,4
13,28,7,7734.74,444,Champions,7014.243671232877,Gabriele Norcross,Male,38,62,Developer I,Financial Services,High Net Worth,Yes,8,2 Sutherland Street,3799,Victoria,Australia,6
14,48,4,3593.57,311,New Customers,1831.243890410959,Rayshell Kitteman,Female,85,34,Account Executive,Financial Services,Affluent Customer,No,6,9 Mcbride Trail,2760,New South Wales,Australia,8
15,36,6,4923.34,332,Loyal Customers,4167.978246575342,Erroll Radage,Male,91,17,Junior Executive,Manufacturing,Mass Customer,No,1,9861 New Castle Avenue,2428,New South Wales,Australia,9
16,100,5,7763.79,224,Hibernating,4722.08597260274,Harlin Parr,Male,38,40,Media Manager IV,N/A,Mass Customer,Yes,18,52 Moland Street,3331,Victoria,Australia,4
17,1,5,4676.1900000000005,522,Potential Loyalists,3728.1405205479455,Heath Faraday,Male,57,55,Sales Associate,N/A,Affluent Customer,Yes,15,82391 Kensington Lane,3058,Victoria,Australia,9
18,135,7,8878.62,145,At Risk,3551.4480000000003,Marjie Neasham,Female,79,50,Professor,N/A,Affluent Customer,No,11,092 2nd Alley,2135,New South Wales,Australia,12
